occupation,skill_name,importance
Data Scientist,Python programming,high
Data Scientist,Machine learning,high
Data Scientist,Data analysis,high
Data Scientist,SQL,medium
Data Scientist,Data visualization,medium

Digital Marketing Specialist,Digital marketing,high
Digital Marketing Specialist,SEO,high
Digital Marketing Specialist,Content marketing,high
Digital Marketing Specialist,Data analysis,medium

Project Manager,Project management,high
Project Manager,Communication,high
Project Manager,Leadership,high
Project Manager,Strategic planning,medium
